country;USA;Canada;Mexico;Central America;Brazil;Argentina;Venezuela;Columbia;Ecuador;Peru;Bolivia;Paraguay;Uruguay;United Kingdom;Germany;France;Italy;Spain;Portugal;Benelux;Switzerland;Austria;Denmark;Sweden;Norway;Finland;Poland;Czech Republic;Slovakia;Hungary;Romania;Bulgaria;Greece;Balkans;Baltic countries;Ireland;Russia;Turkey;Arab countries;Iran;Pakistan;India;China;Indochina;Japan;South Korea;Central Asia;Indonesia;Australia;New Zaeland;Oceania;Arabian Africa;Central Africa;South Africa
60;1347;147;331;252;593;171;80;130;43;85;29;18;9;272;356;284;265;203;46;117;33;35;24;39;20;22;167;44;23;43;95;31;47;68;46;20;849;294;229;314;535;4085;4159;987;557;212;381;800;93;18;260;482;1896;447
61;1010;110;248;189;444;128;60;97;32;63;22;13;7;204;267;213;199;152;35;88;24;26;18;29;15;17;125;33;17;32;71;23;35;51;34;15;637;220;172;235;401;3063;3119;740;418;159;285;600;70;13;195;361;1422;335
62;1010;110;248;189;444;128;60;97;32;63;22;13;7;204;267;213;199;152;35;88;24;26;18;29;15;17;125;33;17;32;71;23;35;51;34;15;637;220;172;235;401;3063;3119;740;418;159;285;600;70;13;195;361;1422;335
63;673;73;165;126;296;85;40;65;21;42;14;9;4;136;178;142;132;101;23;58;16;17;12;19;10;11;83;22;11;21;47;15;23;34;23;10;424;147;114;157;267;2042;2079;493;278;106;190;400;46;9;130;241;948;223
64;673;73;165;126;296;85;40;65;21;42;14;9;4;136;178;142;132;101;23;58;16;17;12;19;10;11;83;22;11;21;47;15;23;34;23;10;424;147;114;157;267;2042;2079;493;278;106;190;400;46;9;130;241;948;223
65;336;36;82;63;148;42;20;32;10;21;7;4;2;68;89;71;66;50;11;29;8;8;6;9;5;5;41;11;5;10;23;7;11;17;11;5;212;73;57;78;133;1021;1039;246;139;53;95;200;23;4;65;120;474;111
66;336;36;82;63;148;42;20;32;10;21;7;4;2;68;89;71;66;50;11;29;8;8;6;9;5;5;41;11;5;10;23;7;11;17;11;5;212;73;57;78;133;1021;1039;246;139;53;95;200;23;4;65;120;474;111
67;168;18;41;31;74;21;10;16;5;10;3;2;1;34;44;35;33;25;5;14;4;4;3;4;2;2;20;5;2;5;11;3;5;8;5;2;106;36;28;39;66;510;519;123;69;26;47;100;11;2;32;60;237;55
68;168;18;41;31;74;21;10;16;5;10;3;2;1;34;44;35;33;25;5;14;4;4;3;4;2;2;20;5;2;5;11;3;5;8;5;2;106;36;28;39;66;510;519;123;69;26;47;100;11;2;32;60;237;55
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PopulationPyramidEnd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PricesStart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Animals;6709;7622;91061;3226;15749;42517;44277;4974;3027;10169;9336;2167;9066;2349;4071;3387;3553;3894;2905;4674;10293;4702;44601;46810;69725;4481;11338;2722;2353;522086;1202;978;3815;2038;874;4471;57689;6607;6662;2272;30116;20949;6463;4983;557835;22802;4012;1370;9830;6891;179;1363;361;2458
Meat;12303;13144;92976;3094;15045;39076;42912;4696;2798;9690;9200;2084;8485;4194;7387;6142;6202;6584;4554;8370;18720;8350;79657;82187;124414;8144;13992;4231;3289;801754;1652;1377;5244;2523;1334;8016;77275;7018;7354;2386;32534;22889;8016;5551;985619;40675;3980;1423;17388;12217;285;1415;300;1970
DairyProducts;14639;15646;108064;3727;17930;47149;52039;5675;3368;11633;11037;2503;10213;4999;8837;7307;7411;7765;5366;9923;22315;9958;95420;98201;147750;9699;16606;4961;3877;944759;1945;1624;6170;2993;1573;9530;91783;8600;8771;2856;39137;27317;9786;6803;1171366;48304;5040;1728;20661;14588;328;1695;392;2578
LaborOther;5122;5789;112776;4905;21895;62889;69768;7617;4461;14771;13517;3154;13311;1772;3077;2589;2667;2986;2283;3558;7857;3557;33682;35266;53209;3415;11456;2258;2181;442802;1080;892;3502;2026;776;3440;57863;8334;9025;3189;43176;28769;8363;6435;421080;17446;8002;2075;7452;5226;146;1890;793;5411
Cereals;1323;1405;5305;183;842;2235;2554;278;162;574;571;125;493;451;815;679;628;627;420;894;2029;895;8657;9004;13346;888;1105;378;281;74455;140;118;446;200;121;821;6526;552;511;159;2416;1624;689;453;105187;4254;292;101;1843;1270;25;98;19;116
Vegetables;1004;1059;3704;129;585;1580;1807;198;115;408;405;89;350;342;618;518;485;490;321;678;1544;681;6489;6866;10114;676;829;282;208;55278;103;88;331;148;90;616;4819;412;369;114;1748;1161;516;338;79696;3171;214;74;1359;963;17;71;13;85
Fruits;1008;1070;3702;129;586;1580;1807;198;115;408;405;89;350;343;619;516;475;482;321;673;1546;684;6533;6873;10043;669;827;281;208;55306;103;87;331;148;90;620;4838;412;369;114;1747;1160;516;338;79395;3172;214;74;1383;976;17;71;13;85
Fiber;1034;1098;3839;133;607;1634;1871;204;119;422;418;91;361;353;639;528;510;500;329;693;1579;706;6732;7022;10427;693;856;290;215;56048;107;90;339;152;91;638;4978;421;380;118;1792;1194;529;346;82394;3296;219;75;1388;1025;18;73;14;87
OtherCrops;1058;1106;4297;150;693;1857;2118;232;135;474;467;103;409;355;645;534;510;508;333;704;1579;710;6854;7087;10503;699;887;297;221;58556;110;93;352;159;95;642;5170;447;412;129;1959;1304;551;364;83070;3316;244;83;1417;1041;19;80;16;103
Fish;709;757;8941;392;1415;4646;5183;640;374;1240;1137;263;1110;242;419;353;364;375;256;488;1082;479;4594;4818;7147;462;1222;284;261;52958;128;107;398;230;92;475;5711;667;729;248;3678;2401;626;520;57387;2353;588;170;947;701;17;160;57;391
Aquaponics;1619;1725;21333;863;3423;10241;11471;1350;790;2631;2435;562;2340;554;968;804;841;903;648;1126;2466;1101;10589;10971;16344;1069;2742;662;586;123517;291;243;916;509;215;1090;13756;1486;1643;565;8520;5575;1497;1160;130505;5433;1194;373;2301;1631;51;362;116;756
Agroforestry;1449;1669;21586;804;3970;10527;11757;1300;761;2546;2327;542;2268;504;881;732;761;840;617;1001;2258;1002;9499;10048;15295;962;2565;602;540;112634;267;221;845;476;196;975;13922;1696;1671;574;7801;5263;1663;1290;119824;4986;1209;366;2116;1487;38;351;112;775
Wood;65145;69166;516741;19572;84790;245010;270827;30586;17968;59433;56874;12922;52264;22948;41095;34962;33093;33121;23047;44406;98566;44641;429912;446910;654237;43564;77784;20880;17179;4102462;8633;7232;27125;13897;7019;40752;418109;45616;43027;14682;221985;149128;48372;35898;5242271;211166;29870;9299;90698;65523;1602;8957;2707;16688
Coal;2128;2094;33578;2660;5203;13348;16718;2660;2660;6611;16457;2463;2660;917;1349;1357;1351;1487;1487;1357;1861;1343;11351;12910;11322;1386;9172;1593;1659;488962;1593;1593;1659;1593;1527;1394;74829;3945;2364;2482;222408;107941;14939;14939;179538;13739;14966;2289;1959;2399;2009;2364;2837;2955
Copper;2241;2206;35375;2802;5481;14062;17613;2802;2802;6965;17337;2594;2802;966;1421;1429;1424;1566;1566;1429;1961;1415;11959;13600;11927;1460;9663;1678;1748;515121;1678;1678;1748;1678;1608;1468;78833;4157;2491;2615;234307;113716;15739;15739;189144;14474;15767;2412;2063;2527;2117;2491;2989;3113
Iron;3044;2996;48045;3806;7445;19099;23922;3806;3806;9460;23547;3524;3806;1313;1930;1941;1934;2128;2128;1941;2664;1922;16242;18472;16200;1983;13124;2280;2375;699631;2280;2280;2375;2280;2185;1995;107070;5646;3383;3552;318233;154447;21376;21376;256893;19658;21414;3276;2803;3433;2875;3383;4059;4229
Uranium;4177;4111;65919;5222;10215;26205;32821;5222;5222;12979;32308;4835;5222;1801;2648;2664;2653;2919;2919;2664;3655;2638;22285;25344;22226;2721;18006;3128;3258;959907;3128;3128;3258;3128;2997;2737;146902;7746;4641;4874;436622;211905;29329;29329;352462;26972;29381;4494;3845;4710;3945;4641;5570;5802
OtherMining;3539;3482;55841;4423;8653;22198;27803;4423;4423;10994;27368;4096;4423;1526;2243;2256;2248;2473;2473;2256;3096;2234;18877;21469;18828;2305;15253;2649;2760;813145;2649;2649;2760;2649;2539;2318;124441;6562;3932;4128;369866;179506;24845;24845;298573;22848;24889;3807;3257;3990;3342;3932;4718;4915
Petroleum;1392;1370;21978;1741;3405;8736;10942;1741;1741;4327;10771;1612;1741;600;883;888;884;973;973;888;1218;879;7430;8450;7410;907;6003;1042;1086;320040;1042;1042;1086;1042;999;912;48978;2582;1547;1625;145573;70650;9778;9778;117513;8992;9796;1498;1282;1570;1315;1547;1857;1934
NaturalGas;1151;1133;18172;1439;2816;7224;9048;1439;1439;3578;8906;1333;1439;496;730;734;731;804;804;734;1007;727;6143;6987;6127;750;4964;862;898;264625;862;862;898;862;826;754;40497;2135;1279;1343;120367;58417;8085;8085;97166;7435;8099;1239;1060;1298;1087;1279;1535;1599
Water;1818;1936;27876;1127;5174;14908;16837;2024;1157;3713;3369;786;3339;624;1091;896;950;1077;800;1267;2816;1236;11792;11992;18822;1205;3353;774;683;143891;337;280;1100;601;252;1223;19016;2108;2564;894;15248;8213;2392;1595;150995;6297;2405;714;2658;1839;65;683;237;1599
BottledWater;486;485;5399;188;833;2400;2678;302;175;592;546;126;527;161;290;233;243;266;190;324;741;320;3048;3112;4888;321;720;185;155;34434;76;64;248;131;59;317;3837;382;406;137;1986;1288;406;291;38706;1613;258;87;692;466;12;87;22;149
Constructions;38507;39154;957281;40511;195315;545706;605293;66332;38819;127542;116713;27368;115239;13018;22989;18688;19955;22765;17419;26259;58795;25777;245662;249341;387955;25377;90980;17273;17434;3400999;8639;7181;27167;16564;6010;25865;479961;75092;77333;27786;407860;256798;69035;57140;3114942;132052;74799;18889;56113;38579;1463;17304;7629;49817
CivilEngineering;40257;44826;961458;40924;196901;534193;609001;67067;39260;128780;120860;28278;116201;14311;26553;24321;24106;25622;18887;30324;62218;28529;271426;317839;423166;29013;101080;18232;18046;3933564;9011;7499;29954;16969;6769;27575;496470;76631;77655;28538;437884;292305;74597;59619;3834328;140455;80566;19854;62110;41726;1574;18103;8268;51147
Timber;23646;24893;319836;10640;48313;131179;146414;16493;9698;32377;30966;7026;28296;8213;13774;11544;13093;14771;11020;16745;35770;16214;153191;156022;241747;15255;39261;10859;8787;1961925;4395;3682;13828;7105;3450;16765;208948;19299;23490;7978;115350;80834;20509;15017;1985252;84881;12861;4723;34842;24569;988;4809;1149;7035
PetroleumProducts;5084;5283;24509;905;4347;11321;12824;1373;810;2826;2818;621;2439;1741;3217;2637;2533;2584;1719;3474;7805;3470;33350;34388;51748;3482;4729;1532;1158;296257;584;493;1815;857;494;3191;27657;2569;2313;745;11838;7789;3057;2123;409727;16575;1518;470;7219;5036;109;448;119;690
Chemicals;7141;7620;124388;6567;22683;66530;73839;8278;4984;16202;16080;3578;14170;2470;4363;3644;3687;4045;3015;4909;10902;4883;46265;48097;72550;4801;14126;2928;2787;593992;1466;1252;4339;2532;1111;4697;70546;9363;9718;3637;72406;44537;9742;8215;585516;24391;9298;2422;10270;7172;479;2309;1096;5636
Plastics;3209;3414;25776;1003;4021;11533;12959;1438;850;2875;2782;625;2514;1107;1983;1642;1599;1646;1131;2185;4897;2205;20972;21981;32008;2147;3760;1049;843;202897;424;357;1343;676;347;2029;20152;1902;2016;686;11072;7339;2230;1548;260825;10485;1311;431;4516;3196;90;429;122;704
ChemicalProducts;5053;5179;21736;915;3413;9474;10702;1165;697;2414;2479;536;2054;1700;3092;2494;2483;2604;1771;3391;7694;3359;32255;32938;50261;3371;5893;1627;1283;326583;580;492;2122;864;564;3162;30745;2783;1945;637;11144;7328;3386;2387;398476;16464;1228;396;7080;4950;110;391;100;510
Metallurgy;8415;9000;54615;2591;8242;21816;25426;3178;2386;7054;11557;2016;4674;3064;5096;4686;4503;4364;3088;5897;12683;6016;56563;60148;85723;5741;10531;2862;2333;616132;1467;1333;3306;1898;1298;5358;68269;4830;4291;2172;110920;61364;8928;7572;706948;29377;7105;1614;11558;8729;1175;1706;1179;1923
Machinnery;15917;17117;593175;28104;96810;366943;377770;44380;25923;79791;71838;17019;73019;5782;9938;8664;9287;11940;10428;11743;25122;11550;108073;112265;174760;11093;84690;10406;13392;2245188;6566;5455;22632;14320;4778;12287;347447;80836;49197;18153;242677;169071;57889;59873;1425404;59155;47155;11255;25246;17056;659;9981;5224;33264
Vehicles;20616;21967;908772;45875;151975;556558;604540;66771;39025;127373;113896;26899;116927;7283;12199;10696;11762;15410;13450;15395;33081;14948;139744;143617;228386;14375;115830;14868;17578;3249940;8542;7066;31003;18847;5993;16579;439648;70967;71115;25907;362786;233848;77250;52094;1811042;75991;72087;17581;32399;21763;794;15630;7809;51438
Rail;45117;50183;1590138;66630;213808;909783;1007534;111300;64532;212587;191707;45343;193519;16047;28071;24027;25932;33870;27775;35913;73477;33324;312011;338004;506318;33245;145973;23723;24034;4671720;11892;9843;41122;24254;8493;29985;879874;122091;124822;45218;690499;444399;145047;91184;4443588;167450;127286;32669;71926;47955;1978;30125;13374;88176
WasteManagement;976;995;12592;465;1932;5727;6391;719;419;1406;1290;299;1253;339;602;496;514;558;398;683;1516;680;6478;6647;10092;661;1630;395;340;74052;168;140;549;293;128;654;8307;838;920;316;4497;3002;904;639;81532;3324;592;200;1422;996;28;198;55;364
Fertilizers;2855;3041;21993;829;3451;9469;10712;1188;706;2402;2365;525;2076;971;1717;1448;1460;1516;1031;1949;4363;1941;18256;19052;28964;1911;3329;969;767;186064;388;327;1215;601;318;1831;18309;1650;1742;589;9910;6533;1942;1368;231274;9428;1099;368;4096;2872;88;367;100;544
Glass;3353;3393;23468;919;3599;10045;11371;1289;810;2670;3056;627;2176;1129;2037;1648;1644;1752;1198;2243;5087;2203;21216;21711;33015;2234;3892;1121;889;220054;475;410;1376;698;397;2108;22412;1875;1894;703;18225;10825;2552;1891;262309;11131;1593;462;4681;3290;175;467;183;633
BuildingMaterials;8703;8796;109573;4517;19558;55536;62897;7168;4332;14025;14465;3155;12066;2931;5212;4220;4377;4817;3443;5846;13138;5735;54818;55824;86988;5720;13536;3316;2875;653831;1515;1298;4444;2435;1199;5641;78457;8130;9140;3386;98297;43461;9707;7359;693974;29540;11866;3156;12415;8590;709;3037;1346;6790
ArmsIndustry;37824;37039;3576471;182910;541006;2468531;2309606;251990;172457;488439;438252;103770;445991;16534;24135;21870;31260;47224;47491;36264;69291;35077;284417;289125;490160;28268;417790;46318;76908;8978419;38410;30898;95338;85975;17355;37213;1703947;325317;277284;101237;1518454;1050871;281536;213250;4263413;238938;301281;73584;58123;60747;2786;66284;31918;211865
NavalVehicles;37151;46328;2189326;124653;379529;1463968;1612011;209271;122394;395521;357801;84077;359434;13525;13740;11468;25807;27971;24633;33359;61761;27758;253974;302678;400759;16445;311718;44086;57109;8461685;28196;23240;81994;61179;15812;42114;1161776;221949;196573;70168;1116435;674873;163892;172515;3839212;149649;249874;55435;42860;41583;2136;47953;27230;186873
Aeroplanes;115398;105408;7465348;423625;1496788;5469459;6008030;668582;385516;1252677;1126641;266773;1147543;44017;70421;63729;81262;106306;99988;97873;191506;88068;789413;878757;1327720;79497;1048027;117469;173672;16624601;85757;70257;160249;189535;30740;108043;3923355;879498;774412;281744;3415086;2701345;779848;628303;11769490;486378;747485;169940;173568;119133;5911;148133;79717;537694
Textiles;1848;1870;6139;213;951;2595;2942;313;184;663;673;146;563;611;1134;910;876;893;580;1223;2828;1203;11777;11987;18307;1228;1448;504;368;99422;185;156;585;258;163;1119;8522;703;618;189;2928;1965;906;588;143063;5821;349;118;2525;1786;32;113;20;120
WearingApparel;12020;12141;104554;3989;18370;50658;56801;6187;3609;12255;11498;2633;10892;4020;7214;5810;5990;6502;4493;8090;18316;7944;76078;77218;120102;7951;15563;4267;3470;808188;1723;1445;5495;2797;1369;7794;85211;8762;8822;2938;41784;27476;9688;6824;950449;39927;6029;1869;17082;11841;275;1789;520;3409
Leather;11705;11850;80701;3101;13529;38264;42878;4635;2712;9319;8864;2010;8222;3913;7058;5677;5753;6118;4131;7831;17843;7727;74226;75387;116740;7754;13160;3831;3017;735880;1506;1266;4809;2347;1236;7450;71958;6988;6947;2279;32696;21897;8089;5550;920968;38280;4562;1425;16463;11447;248;1362;374;2401
Paper;350;352;2840;100;435;1242;1379;151;88;302;287;65;266;116;210;168;171;187;128;233;536;228;2191;2247;3500;231;424;121;96;22976;47;40;154;75;39;223;2278;217;226;74;1056;722;242;170;27555;1157;134;45;496;343;8;44;10;69
MedicalEquipment;25009;30713;2374926;125832;511270;1759406;1425681;179936;124049;402336;357228;84929;368019;9666;14893;12685;18098;27303;29084;20430;39623;19389;183364;188828;278531;17113;254920;26352;35948;6838385;18828;14889;66716;40066;11556;21853;979733;241984;191157;70087;963911;622134;185781;182733;2533709;101872;196677;47882;43264;31000;1463;42459;22007;148018
Drugs;12418;12673;50001;1929;8856;22831;27729;2990;1785;6174;6301;1370;5286;4166;7533;6075;6146;6536;4459;8348;18905;8230;78966;80406;123600;8257;12554;4287;3311;725325;1467;1243;4598;2210;1235;8011;80502;6226;5256;1738;31996;19636;9190;5315;981496;40884;3767;1152;17511;12202;289;1121;332;1731
ElectricalEquipment;11259;11914;209460;6797;40613;91571;118470;13129;6496;25497;23236;5404;22987;3962;7178;6010;5990;6520;4805;7983;17486;7927;75541;78167;118763;7833;25293;5082;4435;996798;2200;1832;7810;4122;1746;7998;115321;16874;19279;6865;227404;64729;15291;12406;950890;38843;38040;10607;16668;11531;795;10136;3811;25476
ElectronicProducts;15350;16091;343746;21921;90593;304486;332684;43348;25421;73681;66255;15568;67248;5341;8883;7681;8588;10364;8751;10976;24143;10649;99938;101935;162680;10254;43633;7188;7893;1447345;3878;3207;12227;7927;2551;9831;328429;46245;48515;17471;269889;158175;65256;35699;1324595;55551;66456;13701;23867;16078;477;11444;7037;47054
Computers;79579;90042;7706860;405587;1757290;5701972;6226834;682477;398365;1294568;1157051;274773;1190829;28584;45465;38797;51469;73496;72387;53244;114950;50473;459796;466741;798921;46082;723138;71020;119595;18882800;58500;48091;183613;131417;34560;68276;4070242;850747;720221;263392;3905047;2356101;759784;652885;7530879;318949;1016323;200091;139507;89885;4505;163379;110180;732001
Hi-TechDevices;125893;141448;14585336;752686;3487302;10586010;11537584;1265307;739519;2402526;2148905;509390;2209064;44819;70166;59693;82329;155541;159184;103953;222283;96819;869395;874183;1554720;86486;1467266;153668;241057;37294635;117842;96841;370278;267750;68740;134686;4711792;1927572;1334793;488379;6627295;4386705;1279825;1467903;11931769;511233;1702501;338248;221949;142643;7762;278231;185089;1228799
Furniture;10409;10573;79869;2731;12991;34336;38644;4205;2461;8478;8132;1835;7416;3493;6231;5050;5217;5648;3921;7023;15975;6902;65978;67210;103890;6865;12110;3677;2856;685713;1425;1197;4507;2193;1159;6758;67972;6272;6557;2136;30299;20722;7134;4974;826390;34690;3853;1297;14801;10272;262;1276;302;1933
DomesticAppliances;15787;15998;723592;30459;148872;417617;459475;50739;29708;96914;86977;20563;88350;5330;9181;7485;8479;10651;9067;10885;24200;10513;99029;100084;162781;10248;61690;9335;10981;1879904;5369;4433;16940;11364;3388;11373;299359;55346;56628;20399;278820;183032;45611;40597;1301047;53964;53172;13582;23633;16095;660;12398;5538;37348
Packaging;3728;3797;27650;956;4104;11377;12786;1411;840;2869;2876;632;2464;1249;2241;1822;1859;1987;1371;2514;5671;2464;23683;24218;37311;2465;4260;1281;992;242115;501;423;1577;761;414;2385;23472;2009;2184;730;12202;8145;2439;1667;295478;12327;1292;444;5268;3667;118;448;110;596
Toys;10745;10860;179959;7663;36872;103817;115238;12531;7422;24503;22302;5223;22158;3585;6396;5152;5389;6077;4451;7237;16409;7075;67739;68741;108627;7050;19418;4217;3967;829909;1955;1631;6199;3546;1432;7050;97347;15134;15427;5396;76436;49056;13571;11497;852304;35924;13934;3625;15320;10607;292;3297;1389;9295
TobaccoProducts;8409;8491;55303;2069;9637;25908;29184;3152;1844;6363;6096;1376;5586;2809;5052;4068;4141;4426;3013;5618;12848;5539;53235;53989;84508;5552;9229;2773;2169;528120;1084;911;3420;1667;886;5345;52168;5069;4869;1587;23001;15359;5768;4040;662785;27622;3171;996;11825;8246;182;953;255;1632
Food;8347;8471;44281;1615;7945;20684;23396;2502;1462;5116;4951;1109;4464;2790;5043;4059;4094;4322;2908;5584;12802;5502;52896;53727;83989;5530;8267;2633;2010;503359;1006;846;3155;1498;837;5256;48097;4559;4157;1325;19023;12776;5273;3663;655595;27225;2650;832;11720;8175;164;790;198;1279
Beverages;8548;8666;46962;1713;8350;21938;24808;2663;1555;5423;5229;1174;4740;2856;5165;4149;4195;4438;2990;5719;13124;5642;54235;55124;86004;5660;8637;2715;2084;518801;1042;876;3275;1565;864;5389;50025;4761;4356;1394;20057;13411;5488;3813;671445;27911;2792;879;12013;8371;168;837;211;1367
Confectionery;14974;15230;69131;2490;11740;31234;35360;3786;2215;7812;7642;1699;6771;5007;9105;7335;7346;7578;5030;10047;22807;9972;96306;97959;148694;9966;13721;4496;3380;867924;1695;1428;5332;2472;1436;9251;79736;7165;6558;2066;30229;20302;8629;5824;1171788;48271;4011;1295;20887;14702;282;1238;282;1789
WaterSupply;344;347;1867;64;320;828;953;106;61;210;203;45;184;114;211;170;166;171;113;227;525;226;2171;2227;3375;230;312;100;75;19596;37;31;120;55;32;211;1810;160;172;55;921;550;196;129;26643;1097;119;39;478;332;7;39;9;59
Conventional;1807;1812;18187;834;3172;9287;10517;1232;791;2477;2978;585;1997;625;1113;930;910;945;676;1222;2692;1226;11733;12257;17741;1211;2654;637;553;134253;319;282;832;468;266;1137;15824;1437;1535;637;20904;11549;2132;1673;145111;6110;1934;474;2506;1804;183;465;262;897
Clean;3435;4209;84074;3569;16300;46449;52411;6046;3488;11297;10146;2383;10205;1176;2038;1688;1836;2164;1692;2402;5314;2337;22217;22670;35861;2277;8728;1699;1644;320830;808;669;2669;1551;571;2392;46366;5920;7195;2548;39894;22880;6378;4437;285264;12026;6793;1921;5117;3506;136;1802;686;4681
Nuclear;602;494;15902;683;2794;8120;9031;1057;658;2069;2311;483;1734;207;373;311;320;331;228;406;911;415;3962;4102;5947;403;1818;186;179;44082;98;85;273;323;81;367;3882;354;340;150;3932;2337;486;519;47870;1937;1460;372;824;594;117;365;193;782
Administration;23451;25427;658687;29483;142344;392901;448592;49734;29117;94366;86985;20615;86026;8981;14322;12740;13918;16416;13423;17189;36803;17214;159573;175800;247664;16133;81898;13182;14905;2678754;7482;6063;22421;15074;4658;17049;441805;78619;56499;20725;313435;202249;69632;57945;2107590;85459;64466;15059;35662;25943;746;13470;6797;43846
Electricity;2018;2090;8981;323;1508;3974;4540;502;297;1022;1039;225;872;681;1271;1027;974;978;636;1348;3082;1354;13036;13420;20194;1369;1664;552;407;108917;207;175;645;298;180;1225;9663;803;809;261;4497;2813;1048;685;159206;6398;561;184;2804;1969;46;181;44;244
Healthcare;56568;66272;2226290;93426;445022;1295794;1285677;147007;91028;297613;265884;62765;270316;22361;35528;29763;37419;45808;42667;44812;90345;43564;426224;440648;612829;40059;279119;39906;46243;8649623;24407;19115;78435;48688;14165;43481;1260148;230754;167679;60441;819919;541637;188374;169415;5547017;217197;143433;39513;91852;67958;2011;37079;15069;101755
Tourism;62159;62152;1299396;53992;246060;712392;793802;88086;50804;168729;153563;36083;152842;21269;36824;29789;33772;39744;31857;43892;97137;42174;400216;404081;643031;41335;187606;34049;34903;6126176;17273;14302;51163;34174;10885;44670;924010;134513;106577;37618;513680;340439;125532;99538;5168588;224941;88565;24397;93472;63845;1760;22801;8802;59456
Culture;42028;42309;618347;26624;128812;358139;401364;44687;25928;84008;78113;18219;76965;14268;25123;20240;22205;25071;18996;29178;65226;28359;270598;272345;429253;27915;89475;18609;17858;3563258;8783;7306;27468;16309;6200;28724;504871;70740;55903;19524;293033;176563;70409;53973;3424493;147087;53775;14012;62198;42944;1072;12794;5305;35643
Entertainment;44897;45274;843299;36645;177017;493295;547035;59851;34132;114912;104740;24588;104429;15232;26873;21582;23537;27203;21225;31090;69883;30176;288588;290736;459749;29855;112986;20980;21836;4135666;10685;8866;33567;20914;7275;30941;563469;99619;71640;25259;348985;226261;85194;75095;3648891;156293;67008;16856;66320;45648;1097;15146;6732;45248
MassMedia;35115;35140;1251046;57525;275770;783449;868958;95834;55799;181946;164628;38746;165672;12076;20543;16693;19511;24562;21627;24992;55385;23809;223622;225107;368596;23208;153707;22774;27223;4380570;13318;10978;39508;28277;7890;26408;760837;149269;110165;39571;544057;352303;128558;112111;2969954;131360;111899;26916;54263;36507;1170;23936;11623;78579
FreightTransport;9425;10118;142861;5737;23504;73790;82017;9442;5476;18108;16353;3850;16308;3346;6018;4996;5093;5600;4188;6809;14867;6730;63974;66701;100388;6589;20821;4194;4039;802850;1984;1649;6457;3799;1423;6502;106981;13120;11145;3923;59218;36588;13320;9825;818167;32991;9411;2773;14008;9744;252;2638;939;6318
PassengerTransport;14577;15367;395001;17669;74452;231628;258000;28600;16768;54408;49645;11671;49479;5273;9138;7698;8384;9926;8176;10942;23226;10553;99407;103005;158714;10214;56156;8825;9938;1568717;4905;4042;13495;10112;2808;10850;257106;41616;33537;12040;161071;112130;39187;30881;1294011;53953;29258;7725;22491;15457;458;7103;2987;20063
UrbanTransport;16257;16626;317510;13557;58988;175942;196187;21770;12660;41775;38240;8957;37917;5669;10073;8250;8760;10114;7880;11604;25431;11264;107208;109248;168127;11251;44879;8178;8306;1542364;4078;3380;12789;8097;2723;11353;224093;32662;25890;9157;129502;84187;31956;24567;1367362;57376;22966;6135;24581;16760;436;5662;2302;15237
CargoHandling;5810;6211;200441;8601;39565;116605;128999;14460;8347;27492;24382;5818;25059;2130;3751;3177;3377;4070;3399;4279;9181;4216;39688;40908;63482;4083;23436;3455;4138;725255;2014;1662;6604;4289;1326;4398;122926;19227;15896;5805;91834;51971;17610;14257;526676;21814;17117;4441;9140;6239;237;4049;1806;12009
